,title,link,description,bloggername,bloggerlink,postdate
36,"부처 간 칸막이를 허물고, 협업 행정 구현 용인 <b>반도체</b>... ",https://blog.naver.com/mltmkr/223395618432,"용인 <b>반도체</b> 국가산업단지 부지(용인시 이동읍 현장사무소)에서 첫 회의*를 개최합니다. *(참석기관)... 특히, 이번 인사 교류의 핵심 목표로 ‘용인 <b>반도체</b> 국가산단의 신속 조성’을 내건 만큼 첫 번째 회의... ",국토교통부,blog.naver.com/mltmkr,20240326
37,"미, <b>반도체</b>주 일제 하락하며 S&amp;P 500 4일 연속 내림세",https://blog.naver.com/apurimac/223419052655,"<b>반도체</b> 업체인 ASML의 1분기 실적이 61% 감소했다는 소식에 <b>반도체</b> 업종은 급락했습니다. AMD 주가는 거의 6% 이상, 엔비디아가 3% 넘게, 퀄컴은 2% 넘게 하락하였는데 특히, Arm은 12% 가까이 폭락하였습니다. ASML... ",한달 살기,blog.naver.com/apurimac,20240418
38,<b>반도체</b> 산업 - 불확실성 속의 기회,https://blog.naver.com/pokara61/223097151353,교보증권에서 발간한 <b>반도체</b> 산업 리포트입니다. 여느 때보다 <b>반도체</b> 산업 전망이 불확실하지만 과거 사례에 비추어 볼 때 얼마든 다시 일어설 수 있는 경쟁력을 갖고 있다는 내용입니다. 일독해... ,포카라의 실전투자,blog.naver.com/pokara61,20230509
39,전문대<b>반도체</b>학과 여기로 와,https://blog.naver.com/ecivu37/223570724676,안녕하세요 <b>반도체</b>는 IT 분야에 관심이 없는 사람도 많이 들어본 단어죠 4차 산업혁명을 이끄는 핵심... 학생만 <b>반도체</b> 관련 전공을 선택할 수 있는 건 아니에요 1. 어떤 방법이 있을까? 전문대<b>반도체</b>학과를... ,멘토스쿨 엑스퍼트,blog.naver.com/ecivu37,20240903
40,"[토큰포스트]미국, 퀀텀컴퓨팅·<b>반도체</b> 기술 수출 통제 강화... ",https://blog.naver.com/qlc1012/223575469911,"[토큰 포스트] 미국, 퀀텀컴퓨팅·<b>반도체</b> 기술 수출 통제 강화…中 견제 2024년 9월 6일, 김민준 기자 작성 미국, 퀀텀컴퓨팅·<b>반도체</b> 기술 수출 통제 강화…中 견제 / 셔터스톡 바이든 행정부가 퀀텀 컴퓨팅과... ",더 좋은 산행이야기(A better hiking story),blog.naver.com/qlc1012,20240907
41,"한국기술교육대학교, <b>반도체</b> 전문인력 양성 '클린룸' 장비 확대",https://blog.naver.com/koreatech91/223406773386,한국기술교육대학교가 <b>반도체</b> 제조공정 및 장비교육 및 실습 공간인 '클린룸'(Clean room)에 6종의 장비를 추가 구축하여 재직자 및 직업훈련·강사 등을 대상으로 보다 체계적인 <b>반도체</b> 전문인력 양성에... ,한국기술교육대학교 공식 블로그,blog.naver.com/koreatech91,20240405
42,53%) 등 대형 기술주 급락 영향 등에 <b>반도체</b>/AI/전선/전력설비... ,https://blog.naver.com/beetle2022/223572515004,"美 경기 침체 공포 재부각에 따른 엔비디아(-9.53%) 등 대형 기술주 급락 영향 등에 <b>반도체</b>/AI/전선... 26% 급락 필라델피아 <b>반도체</b>지수는 전 거래일 대비 399.82(-7.75%) 폭락한 4,759.00 를 기록 특히... ",주린이 재테크 도전 분투기,blog.naver.com/beetle2022,20240904
43,몇 개의 그래프들 - <b>반도체</b> 파츠/소켓,https://blog.naver.com/tosoha1/223102776298,주요 <b>반도체</b> 파츠 회사들의 실적이 다 발표 되었다. 특이점은 이번 분기에 월덱스의 매출이 이제... 중국 <b>반도체</b> 회사들의 미국 <b>반도체</b> 규제로 before market 부품을 구하지 못해 한국의 회사들이 수혜를... ,이것 또한 지나가리라,blog.naver.com/tosoha1,20230515
44,AI 인공지능 엔비디아 주가 국내 <b>반도체</b> 관련주... ,https://blog.naver.com/resumet/223442332301,"AI 인공지능 엔비디아 주가 국내 <b>반도체</b> 관련주 - SK하이닉스 KODEX 핵심장비 ETF 금리가 떨어지지 않고... 지금 시장에서 인공지능 모델을 학습시키고, 추론하는 모델을 만들기 위해서는 엔비디아의 <b>반도체</b>... ",블루래더 - 경제적 자유를 향한 푸른 사다리,blog.naver.com/resumet,20240510
45,"24년 8월_수출입 동향 요약(ft. <b>반도체</b> 산업, 다르게 바라보기)",https://blog.naver.com/choght5986/223571261238,"제목에서 언급되어 있는 바와 같이 오늘의 주제는 <b>반도체</b> 산업 다르게 바라보기 입니다! **시작에 앞서... 익히 알고 계시는 것처럼 <b>반도체</b>가 가장 높은 수출액을 기록하고 있고, 이어서 자동차, 석유제품... ",뜸들이는 재테크,blog.naver.com/choght5986,20240903
